frase1,fol1,frase2,fol2,relacion
no todo agujero alegre aguanta o amanece ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (AGUANTAR(x) | AMANECER(x))), algún agujero alegre no aguanta o no amanece,exists x.(AGUJERO(x) & ALEGRE(x) & (-AGUANTAR(x) | -AMANECER(x))),0
no todo agujero alegre aguanta o anochece ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (AGUANTAR(x) | ANOCHECER(x))), algún agujero alegre no aguanta o no anochece,exists x.(AGUJERO(x) & ALEGRE(x) & (-AGUANTAR(x) | -ANOCHECER(x))),0
no todo agujero alto aguanta o acuerda ,-all x.((AGUJERO(x) & ALTO(x)) -> (AGUANTAR(x) | ACORDAR(x))), algún agujero alto no aguanta o no acuerda,exists x.(AGUJERO(x) & ALTO(x) & (-AGUANTAR(x) | -ACORDAR(x))),0
no todo agujero alto aguanta o ama ,-all x.((AGUJERO(x) & ALTO(x)) -> (AGUANTAR(x) | AMAR(x))), algún agujero alto no aguanta o no ama,exists x.(AGUJERO(x) & ALTO(x) & (-AGUANTAR(x) | -AMAR(x))),0
no todo agujero alto aguanta o amanece ,-all x.((AGUJERO(x) & ALTO(x)) -> (AGUANTAR(x) | AMANECER(x))), algún agujero alto no aguanta o no amanece,exists x.(AGUJERO(x) & ALTO(x) & (-AGUANTAR(x) | -AMANECER(x))),0
no todo agujero alto aguanta o anochece ,-all x.((AGUJERO(x) & ALTO(x)) -> (AGUANTAR(x) | ANOCHECER(x))), algún agujero alto no aguanta o no anochece,exists x.(AGUJERO(x) & ALTO(x) & (-AGUANTAR(x) | -ANOCHECER(x))),0
no todo agujero amargo aguanta o acuerda ,-all x.((AGUJERO(x) & AMARGO(x)) -> (AGUANTAR(x) | ACORDAR(x))), algún agujero amargo no aguanta o no acuerda,exists x.(AGUJERO(x) & AMARGO(x) & (-AGUANTAR(x) | -ACORDAR(x))),0
no todo agujero amargo aguanta o ama ,-all x.((AGUJERO(x) & AMARGO(x)) -> (AGUANTAR(x) | AMAR(x))), algún agujero amargo no aguanta o no ama,exists x.(AGUJERO(x) & AMARGO(x) & (-AGUANTAR(x) | -AMAR(x))),0
no todo agujero amargo aguanta o amanece ,-all x.((AGUJERO(x) & AMARGO(x)) -> (AGUANTAR(x) | AMANECER(x))), algún agujero amargo no aguanta o no amanece,exists x.(AGUJERO(x) & AMARGO(x) & (-AGUANTAR(x) | -AMANECER(x))),0
no todo agujero amargo aguanta o anochece ,-all x.((AGUJERO(x) & AMARGO(x)) -> (AGUANTAR(x) | ANOCHECER(x))), algún agujero amargo no aguanta o no anochece,exists x.(AGUJERO(x) & AMARGO(x) & (-AGUANTAR(x) | -ANOCHECER(x))),0
no todo agujero amplio aguanta o acuerda ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (AGUANTAR(x) | ACORDAR(x))), algún agujero amplio no aguanta o no acuerda,exists x.(AGUJERO(x) & AMPLIO(x) & (-AGUANTAR(x) | -ACORDAR(x))),0
no todo agujero amplio aguanta o ama ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (AGUANTAR(x) | AMAR(x))), algún agujero amplio no aguanta o no ama,exists x.(AGUJERO(x) & AMPLIO(x) & (-AGUANTAR(x) | -AMAR(x))),0
no todo agujero amplio aguanta o amanece ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (AGUANTAR(x) | AMANECER(x))), algún agujero amplio no aguanta o no amanece,exists x.(AGUJERO(x) & AMPLIO(x) & (-AGUANTAR(x) | -AMANECER(x))),0
no todo agujero amplio aguanta o anochece ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (AGUANTAR(x) | ANOCHECER(x))), algún agujero amplio no aguanta o no anochece,exists x.(AGUJERO(x) & AMPLIO(x) & (-AGUANTAR(x) | -ANOCHECER(x))),0
no todo agujero amarillo aguanta o acuerda ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (AGUANTAR(x) | ACORDAR(x))), algún agujero amarillo no aguanta o no acuerda,exists x.(AGUJERO(x) & AMARILLO(x) & (-AGUANTAR(x) | -ACORDAR(x))),0
no todo agujero amarillo aguanta o ama ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (AGUANTAR(x) | AMAR(x))), algún agujero amarillo no aguanta o no ama,exists x.(AGUJERO(x) & AMARILLO(x) & (-AGUANTAR(x) | -AMAR(x))),0
no todo agujero amarillo aguanta o amanece ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (AGUANTAR(x) | AMANECER(x))), algún agujero amarillo no aguanta o no amanece,exists x.(AGUJERO(x) & AMARILLO(x) & (-AGUANTAR(x) | -AMANECER(x))),0
no todo agujero amarillo aguanta o anochece ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (AGUANTAR(x) | ANOCHECER(x))), algún agujero amarillo no aguanta o no anochece,exists x.(AGUJERO(x) & AMARILLO(x) & (-AGUANTAR(x) | -ANOCHECER(x))),0
no todo agujero alegre ama o acuerda ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (AMAR(x) | ACORDAR(x))), algún agujero alegre no ama o no acuerda,exists x.(AGUJERO(x) & ALEGRE(x) & (-AMAR(x) | -ACORDAR(x))),0
no todo agujero alegre ama o aguanta ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (AMAR(x) | AGUANTAR(x))), algún agujero alegre no ama o no aguanta,exists x.(AGUJERO(x) & ALEGRE(x) & (-AMAR(x) | -AGUANTAR(x))),0
no todo agujero alegre ama o amanece ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (AMAR(x) | AMANECER(x))), algún agujero alegre no ama o no amanece,exists x.(AGUJERO(x) & ALEGRE(x) & (-AMAR(x) | -AMANECER(x))),0
no todo agujero alegre ama o anochece ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (AMAR(x) | ANOCHECER(x))), algún agujero alegre no ama o no anochece,exists x.(AGUJERO(x) & ALEGRE(x) & (-AMAR(x) | -ANOCHECER(x))),0
no todo agujero alto ama o acuerda ,-all x.((AGUJERO(x) & ALTO(x)) -> (AMAR(x) | ACORDAR(x))), algún agujero alto no ama o no acuerda,exists x.(AGUJERO(x) & ALTO(x) & (-AMAR(x) | -ACORDAR(x))),0
no todo agujero alto ama o aguanta ,-all x.((AGUJERO(x) & ALTO(x)) -> (AMAR(x) | AGUANTAR(x))), algún agujero alto no ama o no aguanta,exists x.(AGUJERO(x) & ALTO(x) & (-AMAR(x) | -AGUANTAR(x))),0
no todo agujero alto ama o amanece ,-all x.((AGUJERO(x) & ALTO(x)) -> (AMAR(x) | AMANECER(x))), algún agujero alto no ama o no amanece,exists x.(AGUJERO(x) & ALTO(x) & (-AMAR(x) | -AMANECER(x))),0
no todo agujero alto ama o anochece ,-all x.((AGUJERO(x) & ALTO(x)) -> (AMAR(x) | ANOCHECER(x))), algún agujero alto no ama o no anochece,exists x.(AGUJERO(x) & ALTO(x) & (-AMAR(x) | -ANOCHECER(x))),0
no todo agujero amargo ama o acuerda ,-all x.((AGUJERO(x) & AMARGO(x)) -> (AMAR(x) | ACORDAR(x))), algún agujero amargo no ama o no acuerda,exists x.(AGUJERO(x) & AMARGO(x) & (-AMAR(x) | -ACORDAR(x))),0
no todo agujero amargo ama o aguanta ,-all x.((AGUJERO(x) & AMARGO(x)) -> (AMAR(x) | AGUANTAR(x))), algún agujero amargo no ama o no aguanta,exists x.(AGUJERO(x) & AMARGO(x) & (-AMAR(x) | -AGUANTAR(x))),0
no todo agujero amargo ama o amanece ,-all x.((AGUJERO(x) & AMARGO(x)) -> (AMAR(x) | AMANECER(x))), algún agujero amargo no ama o no amanece,exists x.(AGUJERO(x) & AMARGO(x) & (-AMAR(x) | -AMANECER(x))),0
no todo agujero amargo ama o anochece ,-all x.((AGUJERO(x) & AMARGO(x)) -> (AMAR(x) | ANOCHECER(x))), algún agujero amargo no ama o no anochece,exists x.(AGUJERO(x) & AMARGO(x) & (-AMAR(x) | -ANOCHECER(x))),0
no todo agujero amplio ama o acuerda ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (AMAR(x) | ACORDAR(x))), algún agujero amplio no ama o no acuerda,exists x.(AGUJERO(x) & AMPLIO(x) & (-AMAR(x) | -ACORDAR(x))),0
no todo agujero amplio ama o aguanta ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (AMAR(x) | AGUANTAR(x))), algún agujero amplio no ama o no aguanta,exists x.(AGUJERO(x) & AMPLIO(x) & (-AMAR(x) | -AGUANTAR(x))),0
no todo agujero amplio ama o amanece ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (AMAR(x) | AMANECER(x))), algún agujero amplio no ama o no amanece,exists x.(AGUJERO(x) & AMPLIO(x) & (-AMAR(x) | -AMANECER(x))),0
no todo agujero amplio ama o anochece ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (AMAR(x) | ANOCHECER(x))), algún agujero amplio no ama o no anochece,exists x.(AGUJERO(x) & AMPLIO(x) & (-AMAR(x) | -ANOCHECER(x))),0
no todo agujero amarillo ama o acuerda ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (AMAR(x) | ACORDAR(x))), algún agujero amarillo no ama o no acuerda,exists x.(AGUJERO(x) & AMARILLO(x) & (-AMAR(x) | -ACORDAR(x))),0
no todo agujero amarillo ama o aguanta ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (AMAR(x) | AGUANTAR(x))), algún agujero amarillo no ama o no aguanta,exists x.(AGUJERO(x) & AMARILLO(x) & (-AMAR(x) | -AGUANTAR(x))),0
no todo agujero amarillo ama o amanece ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (AMAR(x) | AMANECER(x))), algún agujero amarillo no ama o no amanece,exists x.(AGUJERO(x) & AMARILLO(x) & (-AMAR(x) | -AMANECER(x))),0
no todo agujero amarillo ama o anochece ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (AMAR(x) | ANOCHECER(x))), algún agujero amarillo no ama o no anochece,exists x.(AGUJERO(x) & AMARILLO(x) & (-AMAR(x) | -ANOCHECER(x))),0
no todo agujero alegre amanece o acuerda ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (AMANECER(x) | ACORDAR(x))), algún agujero alegre no amanece o no acuerda,exists x.(AGUJERO(x) & ALEGRE(x) & (-AMANECER(x) | -ACORDAR(x))),0
no todo agujero alegre amanece o aguanta ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (AMANECER(x) | AGUANTAR(x))), algún agujero alegre no amanece o no aguanta,exists x.(AGUJERO(x) & ALEGRE(x) & (-AMANECER(x) | -AGUANTAR(x))),0
no todo agujero alegre amanece o ama ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (AMANECER(x) | AMAR(x))), algún agujero alegre no amanece o no ama,exists x.(AGUJERO(x) & ALEGRE(x) & (-AMANECER(x) | -AMAR(x))),0
no todo agujero alegre amanece o anochece ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (AMANECER(x) | ANOCHECER(x))), algún agujero alegre no amanece o no anochece,exists x.(AGUJERO(x) & ALEGRE(x) & (-AMANECER(x) | -ANOCHECER(x))),0
no todo agujero alto amanece o acuerda ,-all x.((AGUJERO(x) & ALTO(x)) -> (AMANECER(x) | ACORDAR(x))), algún agujero alto no amanece o no acuerda,exists x.(AGUJERO(x) & ALTO(x) & (-AMANECER(x) | -ACORDAR(x))),0
no todo agujero alto amanece o aguanta ,-all x.((AGUJERO(x) & ALTO(x)) -> (AMANECER(x) | AGUANTAR(x))), algún agujero alto no amanece o no aguanta,exists x.(AGUJERO(x) & ALTO(x) & (-AMANECER(x) | -AGUANTAR(x))),0
no todo agujero alto amanece o ama ,-all x.((AGUJERO(x) & ALTO(x)) -> (AMANECER(x) | AMAR(x))), algún agujero alto no amanece o no ama,exists x.(AGUJERO(x) & ALTO(x) & (-AMANECER(x) | -AMAR(x))),0
no todo agujero alto amanece o anochece ,-all x.((AGUJERO(x) & ALTO(x)) -> (AMANECER(x) | ANOCHECER(x))), algún agujero alto no amanece o no anochece,exists x.(AGUJERO(x) & ALTO(x) & (-AMANECER(x) | -ANOCHECER(x))),0
no todo agujero amargo amanece o acuerda ,-all x.((AGUJERO(x) & AMARGO(x)) -> (AMANECER(x) | ACORDAR(x))), algún agujero amargo no amanece o no acuerda,exists x.(AGUJERO(x) & AMARGO(x) & (-AMANECER(x) | -ACORDAR(x))),0
no todo agujero amargo amanece o aguanta ,-all x.((AGUJERO(x) & AMARGO(x)) -> (AMANECER(x) | AGUANTAR(x))), algún agujero amargo no amanece o no aguanta,exists x.(AGUJERO(x) & AMARGO(x) & (-AMANECER(x) | -AGUANTAR(x))),0
no todo agujero amargo amanece o ama ,-all x.((AGUJERO(x) & AMARGO(x)) -> (AMANECER(x) | AMAR(x))), algún agujero amargo no amanece o no ama,exists x.(AGUJERO(x) & AMARGO(x) & (-AMANECER(x) | -AMAR(x))),0
no todo agujero amargo amanece o anochece ,-all x.((AGUJERO(x) & AMARGO(x)) -> (AMANECER(x) | ANOCHECER(x))), algún agujero amargo no amanece o no anochece,exists x.(AGUJERO(x) & AMARGO(x) & (-AMANECER(x) | -ANOCHECER(x))),0
no todo agujero amplio amanece o acuerda ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (AMANECER(x) | ACORDAR(x))), algún agujero amplio no amanece o no acuerda,exists x.(AGUJERO(x) & AMPLIO(x) & (-AMANECER(x) | -ACORDAR(x))),0
no todo agujero amplio amanece o aguanta ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (AMANECER(x) | AGUANTAR(x))), algún agujero amplio no amanece o no aguanta,exists x.(AGUJERO(x) & AMPLIO(x) & (-AMANECER(x) | -AGUANTAR(x))),0
no todo agujero amplio amanece o ama ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (AMANECER(x) | AMAR(x))), algún agujero amplio no amanece o no ama,exists x.(AGUJERO(x) & AMPLIO(x) & (-AMANECER(x) | -AMAR(x))),0
no todo agujero amplio amanece o anochece ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (AMANECER(x) | ANOCHECER(x))), algún agujero amplio no amanece o no anochece,exists x.(AGUJERO(x) & AMPLIO(x) & (-AMANECER(x) | -ANOCHECER(x))),0
no todo agujero amarillo amanece o acuerda ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (AMANECER(x) | ACORDAR(x))), algún agujero amarillo no amanece o no acuerda,exists x.(AGUJERO(x) & AMARILLO(x) & (-AMANECER(x) | -ACORDAR(x))),0
no todo agujero amarillo amanece o aguanta ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (AMANECER(x) | AGUANTAR(x))), algún agujero amarillo no amanece o no aguanta,exists x.(AGUJERO(x) & AMARILLO(x) & (-AMANECER(x) | -AGUANTAR(x))),0
no todo agujero amarillo amanece o ama ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (AMANECER(x) | AMAR(x))), algún agujero amarillo no amanece o no ama,exists x.(AGUJERO(x) & AMARILLO(x) & (-AMANECER(x) | -AMAR(x))),0
no todo agujero amarillo amanece o anochece ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (AMANECER(x) | ANOCHECER(x))), algún agujero amarillo no amanece o no anochece,exists x.(AGUJERO(x) & AMARILLO(x) & (-AMANECER(x) | -ANOCHECER(x))),0
no todo agujero alegre anochece o acuerda ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (ANOCHECER(x) | ACORDAR(x))), algún agujero alegre no anochece o no acuerda,exists x.(AGUJERO(x) & ALEGRE(x) & (-ANOCHECER(x) | -ACORDAR(x))),0
no todo agujero alegre anochece o aguanta ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (ANOCHECER(x) | AGUANTAR(x))), algún agujero alegre no anochece o no aguanta,exists x.(AGUJERO(x) & ALEGRE(x) & (-ANOCHECER(x) | -AGUANTAR(x))),0
no todo agujero alegre anochece o ama ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (ANOCHECER(x) | AMAR(x))), algún agujero alegre no anochece o no ama,exists x.(AGUJERO(x) & ALEGRE(x) & (-ANOCHECER(x) | -AMAR(x))),0
no todo agujero alegre anochece o amanece ,-all x.((AGUJERO(x) & ALEGRE(x)) -> (ANOCHECER(x) | AMANECER(x))), algún agujero alegre no anochece o no amanece,exists x.(AGUJERO(x) & ALEGRE(x) & (-ANOCHECER(x) | -AMANECER(x))),0
no todo agujero alto anochece o acuerda ,-all x.((AGUJERO(x) & ALTO(x)) -> (ANOCHECER(x) | ACORDAR(x))), algún agujero alto no anochece o no acuerda,exists x.(AGUJERO(x) & ALTO(x) & (-ANOCHECER(x) | -ACORDAR(x))),0
no todo agujero alto anochece o aguanta ,-all x.((AGUJERO(x) & ALTO(x)) -> (ANOCHECER(x) | AGUANTAR(x))), algún agujero alto no anochece o no aguanta,exists x.(AGUJERO(x) & ALTO(x) & (-ANOCHECER(x) | -AGUANTAR(x))),0
no todo agujero alto anochece o ama ,-all x.((AGUJERO(x) & ALTO(x)) -> (ANOCHECER(x) | AMAR(x))), algún agujero alto no anochece o no ama,exists x.(AGUJERO(x) & ALTO(x) & (-ANOCHECER(x) | -AMAR(x))),0
no todo agujero alto anochece o amanece ,-all x.((AGUJERO(x) & ALTO(x)) -> (ANOCHECER(x) | AMANECER(x))), algún agujero alto no anochece o no amanece,exists x.(AGUJERO(x) & ALTO(x) & (-ANOCHECER(x) | -AMANECER(x))),0
no todo agujero amargo anochece o acuerda ,-all x.((AGUJERO(x) & AMARGO(x)) -> (ANOCHECER(x) | ACORDAR(x))), algún agujero amargo no anochece o no acuerda,exists x.(AGUJERO(x) & AMARGO(x) & (-ANOCHECER(x) | -ACORDAR(x))),0
no todo agujero amargo anochece o aguanta ,-all x.((AGUJERO(x) & AMARGO(x)) -> (ANOCHECER(x) | AGUANTAR(x))), algún agujero amargo no anochece o no aguanta,exists x.(AGUJERO(x) & AMARGO(x) & (-ANOCHECER(x) | -AGUANTAR(x))),0
no todo agujero amargo anochece o ama ,-all x.((AGUJERO(x) & AMARGO(x)) -> (ANOCHECER(x) | AMAR(x))), algún agujero amargo no anochece o no ama,exists x.(AGUJERO(x) & AMARGO(x) & (-ANOCHECER(x) | -AMAR(x))),0
no todo agujero amargo anochece o amanece ,-all x.((AGUJERO(x) & AMARGO(x)) -> (ANOCHECER(x) | AMANECER(x))), algún agujero amargo no anochece o no amanece,exists x.(AGUJERO(x) & AMARGO(x) & (-ANOCHECER(x) | -AMANECER(x))),0
no todo agujero amplio anochece o acuerda ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (ANOCHECER(x) | ACORDAR(x))), algún agujero amplio no anochece o no acuerda,exists x.(AGUJERO(x) & AMPLIO(x) & (-ANOCHECER(x) | -ACORDAR(x))),0
no todo agujero amplio anochece o aguanta ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (ANOCHECER(x) | AGUANTAR(x))), algún agujero amplio no anochece o no aguanta,exists x.(AGUJERO(x) & AMPLIO(x) & (-ANOCHECER(x) | -AGUANTAR(x))),0
no todo agujero amplio anochece o ama ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (ANOCHECER(x) | AMAR(x))), algún agujero amplio no anochece o no ama,exists x.(AGUJERO(x) & AMPLIO(x) & (-ANOCHECER(x) | -AMAR(x))),0
no todo agujero amplio anochece o amanece ,-all x.((AGUJERO(x) & AMPLIO(x)) -> (ANOCHECER(x) | AMANECER(x))), algún agujero amplio no anochece o no amanece,exists x.(AGUJERO(x) & AMPLIO(x) & (-ANOCHECER(x) | -AMANECER(x))),0
no todo agujero amarillo anochece o acuerda ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (ANOCHECER(x) | ACORDAR(x))), algún agujero amarillo no anochece o no acuerda,exists x.(AGUJERO(x) & AMARILLO(x) & (-ANOCHECER(x) | -ACORDAR(x))),0
no todo agujero amarillo anochece o aguanta ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (ANOCHECER(x) | AGUANTAR(x))), algún agujero amarillo no anochece o no aguanta,exists x.(AGUJERO(x) & AMARILLO(x) & (-ANOCHECER(x) | -AGUANTAR(x))),0
no todo agujero amarillo anochece o ama ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (ANOCHECER(x) | AMAR(x))), algún agujero amarillo no anochece o no ama,exists x.(AGUJERO(x) & AMARILLO(x) & (-ANOCHECER(x) | -AMAR(x))),0
no todo agujero amarillo anochece o amanece ,-all x.((AGUJERO(x) & AMARILLO(x)) -> (ANOCHECER(x) | AMANECER(x))), algún agujero amarillo no anochece o no amanece,exists x.(AGUJERO(x) & AMARILLO(x) & (-ANOCHECER(x) | -AMANECER(x))),0
no todo albañil alegre acuerda o aguanta ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> (ACORDAR(x) | AGUANTAR(x))), algún albañil alegre no acuerda o no aguanta,exists x.(ALBAÑIL(x) & ALEGRE(x) & (-ACORDAR(x) | -AGUANTAR(x))),0
no todo albañil alegre acuerda o ama ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> (ACORDAR(x) | AMAR(x))), algún albañil alegre no acuerda o no ama,exists x.(ALBAÑIL(x) & ALEGRE(x) & (-ACORDAR(x) | -AMAR(x))),0
no todo albañil alegre acuerda o amanece ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> (ACORDAR(x) | AMANECER(x))), algún albañil alegre no acuerda o no amanece,exists x.(ALBAÑIL(x) & ALEGRE(x) & (-ACORDAR(x) | -AMANECER(x))),0
no todo albañil alegre acuerda o anochece ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> (ACORDAR(x) | ANOCHECER(x))), algún albañil alegre no acuerda o no anochece,exists x.(ALBAÑIL(x) & ALEGRE(x) & (-ACORDAR(x) | -ANOCHECER(x))),0
no todo albañil alto acuerda o aguanta ,-all x.((ALBAÑIL(x) & ALTO(x)) -> (ACORDAR(x) | AGUANTAR(x))), algún albañil alto no acuerda o no aguanta,exists x.(ALBAÑIL(x) & ALTO(x) & (-ACORDAR(x) | -AGUANTAR(x))),0
no todo albañil alto acuerda o ama ,-all x.((ALBAÑIL(x) & ALTO(x)) -> (ACORDAR(x) | AMAR(x))), algún albañil alto no acuerda o no ama,exists x.(ALBAÑIL(x) & ALTO(x) & (-ACORDAR(x) | -AMAR(x))),0
no todo albañil alto acuerda o amanece ,-all x.((ALBAÑIL(x) & ALTO(x)) -> (ACORDAR(x) | AMANECER(x))), algún albañil alto no acuerda o no amanece,exists x.(ALBAÑIL(x) & ALTO(x) & (-ACORDAR(x) | -AMANECER(x))),0
no todo albañil alto acuerda o anochece ,-all x.((ALBAÑIL(x) & ALTO(x)) -> (ACORDAR(x) | ANOCHECER(x))), algún albañil alto no acuerda o no anochece,exists x.(ALBAÑIL(x) & ALTO(x) & (-ACORDAR(x) | -ANOCHECER(x))),0
no todo albañil amargo acuerda o aguanta ,-all x.((ALBAÑIL(x) & AMARGO(x)) -> (ACORDAR(x) | AGUANTAR(x))), algún albañil amargo no acuerda o no aguanta,exists x.(ALBAÑIL(x) & AMARGO(x) & (-ACORDAR(x) | -AGUANTAR(x))),0
no todo albañil amargo acuerda o ama ,-all x.((ALBAÑIL(x) & AMARGO(x)) -> (ACORDAR(x) | AMAR(x))), algún albañil amargo no acuerda o no ama,exists x.(ALBAÑIL(x) & AMARGO(x) & (-ACORDAR(x) | -AMAR(x))),0
no todo albañil amargo acuerda o amanece ,-all x.((ALBAÑIL(x) & AMARGO(x)) -> (ACORDAR(x) | AMANECER(x))), algún albañil amargo no acuerda o no amanece,exists x.(ALBAÑIL(x) & AMARGO(x) & (-ACORDAR(x) | -AMANECER(x))),0
no todo albañil amargo acuerda o anochece ,-all x.((ALBAÑIL(x) & AMARGO(x)) -> (ACORDAR(x) | ANOCHECER(x))), algún albañil amargo no acuerda o no anochece,exists x.(ALBAÑIL(x) & AMARGO(x) & (-ACORDAR(x) | -ANOCHECER(x))),0
no todo albañil amplio acuerda o aguanta ,-all x.((ALBAÑIL(x) & AMPLIO(x)) -> (ACORDAR(x) | AGUANTAR(x))), algún albañil amplio no acuerda o no aguanta,exists x.(ALBAÑIL(x) & AMPLIO(x) & (-ACORDAR(x) | -AGUANTAR(x))),0
no todo albañil amplio acuerda o ama ,-all x.((ALBAÑIL(x) & AMPLIO(x)) -> (ACORDAR(x) | AMAR(x))), algún albañil amplio no acuerda o no ama,exists x.(ALBAÑIL(x) & AMPLIO(x) & (-ACORDAR(x) | -AMAR(x))),0
no todo albañil amplio acuerda o amanece ,-all x.((ALBAÑIL(x) & AMPLIO(x)) -> (ACORDAR(x) | AMANECER(x))), algún albañil amplio no acuerda o no amanece,exists x.(ALBAÑIL(x) & AMPLIO(x) & (-ACORDAR(x) | -AMANECER(x))),0
no todo albañil amplio acuerda o anochece ,-all x.((ALBAÑIL(x) & AMPLIO(x)) -> (ACORDAR(x) | ANOCHECER(x))), algún albañil amplio no acuerda o no anochece,exists x.(ALBAÑIL(x) & AMPLIO(x) & (-ACORDAR(x) | -ANOCHECER(x))),0
no todo albañil amarillo acuerda o aguanta ,-all x.((ALBAÑIL(x) & AMARILLO(x)) -> (ACORDAR(x) | AGUANTAR(x))), algún albañil amarillo no acuerda o no aguanta,exists x.(ALBAÑIL(x) & AMARILLO(x) & (-ACORDAR(x) | -AGUANTAR(x))),0
no todo albañil amarillo acuerda o ama ,-all x.((ALBAÑIL(x) & AMARILLO(x)) -> (ACORDAR(x) | AMAR(x))), algún albañil amarillo no acuerda o no ama,exists x.(ALBAÑIL(x) & AMARILLO(x) & (-ACORDAR(x) | -AMAR(x))),0
no todo albañil amarillo acuerda o amanece ,-all x.((ALBAÑIL(x) & AMARILLO(x)) -> (ACORDAR(x) | AMANECER(x))), algún albañil amarillo no acuerda o no amanece,exists x.(ALBAÑIL(x) & AMARILLO(x) & (-ACORDAR(x) | -AMANECER(x))),0
no todo albañil amarillo acuerda o anochece ,-all x.((ALBAÑIL(x) & AMARILLO(x)) -> (ACORDAR(x) | ANOCHECER(x))), algún albañil amarillo no acuerda o no anochece,exists x.(ALBAÑIL(x) & AMARILLO(x) & (-ACORDAR(x) | -ANOCHECER(x))),0
no todo albañil alegre aguanta o acuerda ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> (AGUANTAR(x) | ACORDAR(x))), algún albañil alegre no aguanta o no acuerda,exists x.(ALBAÑIL(x) & ALEGRE(x) & (-AGUANTAR(x) | -ACORDAR(x))),0
no todo albañil alegre aguanta o ama ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> (AGUANTAR(x) | AMAR(x))), algún albañil alegre no aguanta o no ama,exists x.(ALBAÑIL(x) & ALEGRE(x) & (-AGUANTAR(x) | -AMAR(x))),0
no todo albañil alegre aguanta o amanece ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> (AGUANTAR(x) | AMANECER(x))), algún albañil alegre no aguanta o no amanece,exists x.(ALBAÑIL(x) & ALEGRE(x) & (-AGUANTAR(x) | -AMANECER(x))),0
no todo albañil alegre aguanta o anochece ,-all x.((ALBAÑIL(x) & ALEGRE(x)) -> (AGUANTAR(x) | ANOCHECER(x))), algún albañil alegre no aguanta o no anochece,exists x.(ALBAÑIL(x) & ALEGRE(x) & (-AGUANTAR(x) | -ANOCHECER(x))),0
no todo albañil alto aguanta o acuerda ,-all x.((ALBAÑIL(x) & ALTO(x)) -> (AGUANTAR(x) | ACORDAR(x))), algún albañil alto no aguanta o no acuerda,exists x.(ALBAÑIL(x) & ALTO(x) & (-AGUANTAR(x) | -ACORDAR(x))),0
no todo albañil alto aguanta o ama ,-all x.((ALBAÑIL(x) & ALTO(x)) -> (AGUANTAR(x) | AMAR(x))), algún albañil alto no aguanta o no ama,exists x.(ALBAÑIL(x) & ALTO(x) & (-AGUANTAR(x) | -AMAR(x))),0
